question,answer
"""How do I find a nearby wellness center using Medamoove?""","""Use the 'Mednearby' feature to locate nearby wellness centers."""
"""What is the use of corticosteroids?""","""Corticosteroids are used to reduce inflammation and treat conditions like asthma, arthritis, and allergies."""
"""Can I get advice on managing diabetes through Medamoove?""","""Yes, you can consult with endocrinologists and get advice on managing diabetes through the app."""
"""What should I do if I have a cold?""","""Stay hydrated, rest, use over-the-counter medications, and consult a doctor if necessary."""
"""Can Medamoove help me find a neurologist?""","""Yes, you can find and schedule appointments with neurologists through the app."""
"""What are the symptoms of meningitis?""","""Symptoms include severe headache, fever, stiff neck, sensitivity to light, and nausea."""
"""How do I find a nearby hospice using Medamoove?""","""Use the 'Mednearby' feature to locate nearby hospices."""
"""What is the use of antibiotics?""","""Antibiotics are used to treat bacterial infections by killing or inhibiting the growth of bacteria."""
"""Can I get advice on managing heartburn through Medamoove?""","""Yes, you can consult with gastroenterologists and get advice on managing heartburn through the app."""
"""What should I do if I have a bee sting?""","""Remove the stinger, wash the area with soap and water, apply a cold compress, and take over-the-counter pain relievers if necessary. Seek medical help if you experience severe reactions."""
"""Can Medamoove help me find an endodontist?""","""Yes, you can find and schedule appointments with endodontists through the app."""
"""What are the symptoms of a urinary tract infection (UTI)?""","""Symptoms include frequent urination, burning sensation during urination, cloudy or strong-smelling urine, and pelvic pain."""
"""How do I find a nearby dialysis center using Medamoove?""","""Use the 'Mednearby' feature to locate nearby dialysis centers."""
"""What is the use of antiviral medications?""","""Antiviral medications are used to treat viral infections by inhibiting the replication of viruses in the body."""
"""Can I get advice on managing high cholesterol through Medamoove?""","""Yes, you can consult with cardiologists and get advice on managing high cholesterol through the app."""
"""What should I do if I have a bee allergy?""","""Seek immediate medical attention if you experience symptoms of an allergic reaction such as difficulty breathing, swelling of the face or throat, or a rapid heartbeat."""
"""Can Medamoove help me find a plastic surgeon?""","""Yes, you can find and schedule appointments with plastic surgeons through the app."""
"""What are the symptoms of anemia?""","""Symptoms include fatigue, weakness, pale skin, shortness of breath, dizziness, and cold hands and feet."""
"""How do I find a nearby orthopedic clinic using Medamoove?""","""Use the 'Mednearby' feature to locate nearby orthopedic clinics."""
"""What is the use of antacids?""","""Antacids are used to neutralize stomach acid and provide relief from heartburn, acid reflux, and indigestion."""
"""Can I get advice on managing acid reflux through Medamoove?""","""Yes, you can consult with gastroenterologists and get advice on managing acid reflux through the app."""
"""What should I do if I have a spider bite?""","""Clean the bite area with soap and water, apply a cold compress, elevate the affected area, and take over-the-counter pain relievers if necessary. Seek medical attention if the bite becomes infected or if you experience severe symptoms."""
"""Can Medamoove help me find a pain management specialist?""","""Yes, you can find and schedule appointments with pain management specialists through the app."""
"""What are the symptoms of fibromyalgia?""","""Symptoms include widespread musculoskeletal pain, fatigue, sleep disturbances, and mood issues."""
"""How do I find a nearby mental health clinic using Medamoove?""","""Use the 'Mednearby' feature to locate nearby mental health clinics."""
"""What is the use of proton pump inhibitors (PPIs)?""","""Proton pump inhibitors are used to reduce stomach acid production and treat conditions like gastroesophageal reflux disease (GERD) and peptic ulcers."""
"""Can I get advice on managing GERD through Medamoove?""","""Yes, you can consult with gastroenterologists and get advice on managing GERD through the app."""
"""What should I do if I have a wasp sting?""","""Wash the sting site with soap and water, apply a cold compress, and take over-the-counter pain relievers. Seek medical help if you experience severe reactions."""
"""Can Medamoove help me find a sports medicine specialist?""","""Yes, you can find and schedule appointments with sports medicine specialists through the app."""
"""What are the symptoms of migraines?""","""Symptoms include severe headache, nausea, vomiting, and sensitivity to light and sound."""
"""How do I find a nearby chiropractic clinic using Medamoove?""","""Use the 'Mednearby' feature to locate nearby chiropractic clinics."""
"""What is the use of corticosteroid creams?""","""Corticosteroid creams are used to reduce inflammation and relieve itching, redness, and swelling associated with various skin conditions such as eczema and psoriasis."""
"""Can I get advice on managing psoriasis through Medamoove?""","""Yes, you can consult with dermatologists and get advice on managing psoriasis through the app."""
"""What should I do if I have a jellyfish sting?""","""Rinse the affected area with vinegar, remove tentacles with tweezers, soak the area in hot water, and seek medical attention if necessary."""
"""Can Medamoove help me find a sleep specialist?""","""Yes, you can find and schedule appointments with sleep specialists through the app."""
"""What are the symptoms of sleep apnea?""","""Symptoms include loud snoring, episodes of breathing cessation during sleep, abrupt awakenings accompanied by shortness of breath, and daytime fatigue."""
"""How do I find a nearby acupuncture clinic using Medamoove?""","""Use the 'Mednearby' feature to locate nearby acupuncture clinics."""
"""What is the use of muscle relaxants?""","""Muscle relaxants are used to relieve muscle spasms, pain, and stiffness caused by conditions such as muscle strains, sprains, and injuries."""
"""Can I get advice on managing muscle spasms through Medamoove?""","""Yes, you can consult with healthcare professionals and get advice on managing muscle spasms through the app."""
"""What should I do if I have a jellyfish allergy?""","""Seek immediate medical attention if you experience symptoms of an allergic reaction such as difficulty breathing, swelling of the face or throat, or a rapid heartbeat."""
"""Can Medamoove help me find a gastroenterologist?""","""Yes, you can find and schedule appointments with gastroenterologists through the app."""
"""What are the symptoms of Crohn's disease?""","""Symptoms include abdominal pain, diarrhea, fatigue, weight loss, and malnutrition."""
"""How do I find a nearby massage therapy center using Medamoove?""","""Use the 'Mednearby' feature to locate nearby massage therapy centers."""
"""What is the use of oral contraceptives?""","""Oral contraceptives, also known as birth control pills, are used to prevent pregnancy by inhibiting ovulation and altering the cervical mucus to prevent sperm from reaching the egg."""
"""Can I get advice on managing birth control through Medamoove?""","""Yes, you can consult with gynecologists and get advice on managing birth control options through the app."""
"""What should I do if I have a jellyfish sting?""","""Rinse the affected area with vinegar, remove"
"""What is the use of beta-blockers?""","""Beta-blockers are used to treat various conditions such as high blood pressure, angina, and irregular heart rhythms by blocking the effects of adrenaline on the heart."""
"""Can I get advice on managing hypertension through Medamoove?""","""Yes, you can consult with cardiologists and get advice on managing hypertension through the app."""
"""What should I do if I have a jellyfish sting?""","""Rinse the affected area with vinegar, remove tentacles using tweezers, soak the area in hot water, and seek medical assistance if necessary."""
"""Can Medamoove help me find a fertility specialist?""","""Yes, you can find and schedule appointments with fertility specialists through the app."""
"""What are the symptoms of endometriosis?""","""Symptoms include pelvic pain, heavy menstrual bleeding, infertility, and pain during intercourse."""
"""How do I find a nearby women's health clinic using Medamoove?""","""Use the 'Mednearby' feature to locate nearby women's health clinics."""
"""What is the use of intravenous fluids?""","""Intravenous fluids are used to replenish fluids, electrolytes, and nutrients in patients who cannot consume them orally due to dehydration, surgery, or other medical conditions."""
"""Can I get advice on managing dehydration through Medamoove?""","""Yes, you can consult with healthcare professionals and get advice on managing dehydration through the app."""
"""What should I do if I have a wasp sting?""","""Clean the sting area with soap and water, apply a cold compress, elevate the affected area, and take over-the-counter pain relievers if necessary. Seek medical help if you experience severe reactions."""
"""Can Medamoove help me find a vascular surgeon?""","""Yes, you can find and schedule appointments with vascular surgeons through the app."""
"""What are the symptoms of peripheral artery disease (PAD)?""","""Symptoms include leg pain or cramping during activity, numbness or weakness in the legs, coldness in the lower leg or foot, and sores on the toes, feet, or legs that won't heal."""
"""How do I find a nearby wound care center using Medamoove?""","""Use the 'Mednearby' feature to locate nearby wound care centers."""
"""What is the use of wound dressings?""","""Wound dressings are used to protect wounds from infection, absorb excess fluid, and promote healing by creating a moist environment."""
"""Can I get advice on wound care through Medamoove?""","""Yes, you can consult with healthcare professionals and get advice on wound care through the app."""
"""What should I do if I have a cat scratch?""","""Wash the affected area with soap and water, apply an antiseptic, and cover the wound with a sterile bandage. Seek medical attention if the scratch is deep or becomes infected."""
"""Can Medamoove help me find a pediatrician?""","""Yes, you can find and schedule appointments with pediatricians through the app."""
"""What are the symptoms of croup in children?""","""Symptoms include a barking cough, hoarseness, difficulty breathing, and a harsh, high-pitched sound when breathing in."""
"""How do I find a nearby pediatric urgent care using Medamoove?""","""Use the 'Mednearby' feature to locate nearby pediatric urgent care centers."""
"""What is the use of nebulizers?""","""Nebulizers are used to deliver medication in the form of a mist that can be inhaled into the lungs, commonly used to treat respiratory conditions such as asthma and chronic obstructive pulmonary disease (COPD)."""
"""Can I get advice on managing childhood asthma through Medamoove?""","""Yes, you can consult with pediatric pulmonologists and get advice on managing childhood asthma through the app."""
"""What should I do if my child has a fever?""","""Keep your child hydrated, dress them lightly, and give them acetaminophen or ibuprofen if necessary. Monitor their temperature and seek medical attention if the fever persists or is accompanied by other concerning symptoms."""
"""Can Medamoove help me find a lactation consultant?""","""Yes, you can find and schedule appointments with lactation consultants through the app."""
"""What are the symptoms of mastitis?""","""Symptoms include breast pain, swelling, redness, warmth, and flu-like symptoms such as fever and chills."""
"""How do I find a nearby breastfeeding support group using Medamoove?""","""Use the 'Mednearby' feature to locate nearby breastfeeding support groups."""
"""What is the use of breast pumps?""","""Breast pumps are used to extract breast milk for feeding babies when direct breastfeeding is not possible or to maintain milk supply."""
"""Can I get advice on breastfeeding through Medamoove?""","""Yes, you can consult with lactation consultants and get advice on breastfeeding techniques and concerns through the app."""
"""What should I do if my baby has diaper rash?""","""Change diapers frequently, keep the diaper area clean and dry, apply diaper rash cream or ointment, and give your baby diaper-free time. Consult a doctor if the rash persists or worsens."""
"""Can Medamoove help me find a midwife?""","""Yes, you can find and schedule appointments with midwives through the app."""
"""What are the symptoms of postpartum depression?""","""Symptoms include persistent feelings of sadness, anxiety, irritability, loss of interest in activities, changes in sleep or appetite"
"""What is the use of prenatal vitamins?""","""Prenatal vitamins are supplements containing essential vitamins and minerals, such as folic acid, iron, and calcium, that are important for a healthy pregnancy and fetal development."""
"""Can I get advice on managing morning sickness through Medamoove?""","""Yes, you can consult with obstetricians and get advice on managing morning sickness through the app."""
"""What should I do if I experience vaginal bleeding during pregnancy?""","""Contact your healthcare provider immediately if you experience any vaginal bleeding during pregnancy, as it could indicate a serious complication such as miscarriage or placental problems."""
"""Can Medamoove help me find a doula?""","""Yes, you can find and schedule appointments with doulas through the app."""
"""What are the symptoms of gestational diabetes?""","""Symptoms may include increased thirst, frequent urination, fatigue, blurred vision, and nausea. However, some women may not experience any symptoms."""
"""How do I find a nearby maternity hospital using Medamoove?""","""Use the 'Mednearby' feature to locate nearby maternity hospitals."""
"""What is the use of epidurals during labor?""","""Epidurals are a form of pain relief used during labor and delivery. They block pain signals from the nerves in the lower spine, providing pain relief while allowing the mother to remain alert and active during childbirth."""
"""Can I get advice on breastfeeding positions through Medamoove?""","""Yes, you can consult with lactation consultants and get advice on breastfeeding positions and techniques through the app."""
"""What should I do if my baby has trouble latching during breastfeeding?""","""Consult with a lactation consultant or healthcare provider for guidance on proper latching techniques and breastfeeding assistance devices, such as nipple shields or breast pumps."""
"""Can Medamoove help me find a pediatric dentist?""","""Yes, you can find and schedule appointments with pediatric dentists through the app."""
"""What are the symptoms of teething in babies?""","""Symptoms may include increased drooling, irritability, swollen gums, chewing on objects, and disrupted sleep patterns."""
"""How do I find a nearby pediatric dental clinic using Medamoove?""","""Use the 'Mednearby' feature to locate nearby pediatric dental clinics."""
"""What is the use of fluoride treatments for children?""","""Fluoride treatments are used to strengthen tooth enamel and prevent tooth decay in children."""
"""Can I get advice on infant oral hygiene through Medamoove?""","""Yes, you can consult with pediatric dentists and get advice on infant oral hygiene practices through the app."""
"""What should I do if my child knocks out a baby tooth?""","""Contact your child's dentist immediately for guidance. In the meantime, gently clean the area and apply pressure to control bleeding."""
"""Can Medamoove help me find a child psychologist?""","""Yes, you can find and schedule appointments with child psychologists through the app."""
"""What are the symptoms of autism spectrum disorder (ASD) in children?""","""Symptoms may include difficulty with social interaction, communication challenges, repetitive behaviors, and limited interests or activities."""
"""How do I find a nearby early intervention program using Medamoove?""","""Use the 'Mednearby' feature to locate nearby early intervention programs for children."""
"""What is the use of applied behavior analysis (ABA) therapy for children with autism?""","""ABA therapy is a therapeutic approach used to improve social, communication, and behavioral skills in children with autism through positive reinforcement and structured interventions."""
"""Can I get advice on managing behavioral challenges in children through Medamoove?""","""Yes, you can consult with child psychologists and behavior therapists and get advice on managing behavioral challenges in children through the app."""
"""What should I do if my child has a fever after receiving vaccinations?""","""Fever is a common side effect of vaccinations and usually resolves on its own within a few days. However, if your child's fever is high or accompanied by other concerning symptoms, consult with your healthcare provider."""
"""Can Medamoove help me find a speech-language pathologist?""","""Yes, you can find and schedule appointments with speech-language pathologists through the app."""
"""What are the symptoms of speech delay in children?""","""Symptoms may include limited vocabulary, difficulty forming sentences, unclear speech, and difficulty understanding or following directions for their age."""
"""How do I find a nearby speech therapy center using Medamoove?""","""Use the 'Mednearby' feature to locate nearby speech therapy centers."""
"""What is the use of augmentative and alternative communication (AAC) devices?""","""AAC devices are used to assist individuals with communication difficulties by supplementing or replacing speech with alternative methods such as symbols, pictures, or electronic devices."""
"""Can I get advice on promoting language development in toddlers through Medamoove?""","""Yes, you can consult with speech-language pathologists and get advice on promoting language development in toddlers through the app."""
"""What should I do if my child stutters?""","""Support your child by providing a relaxed and supportive environment for communication, modeling slow and clear speech, and avoiding criticism or pressure. Consult with a speech-language pathologist for further assessment and guidance."""
"""Can Medamoove help me find a developmental pediatrician?""","""Yes, you can find and schedule appointments with developmental pediatricians through the app."""
"""What are the symptoms of attention-deficit/hyperactivity disorder (ADHD) in children?""","""Symptoms may include difficulty focusing or paying attention, hyperactivity, impulsivity, disorganization, forgetfulness, and difficulty following instructions or completing tasks."""
"""How do I find a nearby early childhood education program using Medamoove?""","""Use the 'Mednearby' feature to locate nearby early childhood education programs."""
"""What is the use of behavioral therapy for children with ADHD?""","""Behavioral therapy aims to teach children with ADHD coping strategies, organizational skills, and behavior management techniques to improve attention, impulse control, and social skills."""
"""Can I get advice on creating a structured routine for children with ADHD through Medamoove?""","""Yes, you can consult with developmental pediatricians and behavior therapists and get advice on creating a structured routine for children with ADHD through the app."""
"""What is the use of proton pump inhibitors (PPIs)?""","""PPIs are medications used to reduce stomach acid production and treat conditions such as gastroesophageal reflux disease (GERD), ulcers, and gastritis."""
"""Can Medamoove help me find a gastroenterologist?""","""Yes, you can find and schedule appointments with gastroenterologists through the app."""
"""What are the symptoms of lactose intolerance?""","""Symptoms include bloating, gas, diarrhea, and abdominal pain after consuming dairy products."""
"""How do I find a nearby endoscopy center using Medamoove?""","""Use the 'Mednearby' feature to locate nearby endoscopy centers."""
"""What is the use of colonoscopies?""","""Colonoscopies are procedures used to examine the colon for abnormalities, such as polyps, inflammation, or cancer."""
"""Can I get advice on preparing for a colonoscopy through Medamoove?""","""Yes, you can receive guidance on the preparation process and dietary restrictions from healthcare professionals through the app."""
"""What should I do if I experience chest pain?""","""Seek immediate medical attention, as chest pain can be a symptom of a heart attack or other serious cardiac condition."""
"""Can Medamoove help me find a cardiologist?""","""Yes, you can find and schedule appointments with cardiologists through the app."""
"""What are the symptoms of a heart attack?""","""Symptoms may include chest pain or discomfort, shortness of breath, nausea, lightheadedness, and pain or discomfort in the arms, back, neck, jaw, or stomach."""
"""How do I find a nearby cardiac rehabilitation program using Medamoove?""","""Use the 'Mednearby' feature to locate nearby cardiac rehabilitation programs."""
"""What is the use of cardiac rehabilitation?""","""Cardiac rehabilitation programs are designed to help individuals recover from heart-related conditions or procedures by providing exercise training, education, and support for heart-healthy lifestyle changes."""
"""Can I get advice on managing high blood pressure through Medamoove?""","""Yes, you can consult with healthcare professionals and receive guidance on managing high blood pressure through the app."""
"""What should I do if I experience a sudden, severe headache?""","""Seek immediate medical attention, as it could be a sign of a serious medical condition such as a stroke or aneurysm."""
"""Can Medamoove help me find a neurologist?""","""Yes, you can find and schedule appointments with neurologists through the app."""
"""What are the symptoms of a stroke?""","""Symptoms may include sudden weakness or numbness of the face, arm, or leg, especially on one side of the body; confusion; trouble speaking or understanding speech; vision problems; dizziness; and severe headache."""
"""How do I find a nearby stroke center using Medamoove?""","""Use the 'Mednearby' feature to locate nearby stroke centers."""
"""What is the use of clot-busting medications for stroke treatment?""","""Clot-busting medications, such as tissue plasminogen activator (tPA), are used to dissolve blood clots and restore blood flow to the brain during an ischemic stroke."""
"""Can I get advice on preventing migraines through Medamoove?""","""Yes, you can consult with healthcare professionals and receive guidance on migraine prevention strategies through the app."""
"""What should I do if I experience sudden vision loss?""","""Seek immediate medical attention, as sudden vision loss could be a sign of a serious eye condition or neurological problem."""
"""Can Medamoove help me find an ophthalmologist?""","""Yes, you can find and schedule appointments with ophthalmologists through the app."""
"""What are the symptoms of glaucoma?""","""Symptoms may include gradual loss of peripheral vision, tunnel vision, blurred vision, halos around lights, and eye pain or redness."""
"""How do I find a nearby optometry clinic using Medamoove?""","""Use the 'Mednearby' feature to locate nearby optometry clinics."""
"""What is the use of intraocular pressure (IOP) measurements?""","""IOP measurements are used to screen for and monitor glaucoma, a group of eye conditions that can damage the optic nerve and lead to vision loss."""
"""Can I get advice on managing dry eyes through Medamoove?""","""Yes, you can consult with ophthalmologists and receive guidance on managing dry eye symptoms through the app."""
"""What should I do if I get something stuck in my eye?""","""Flush the eye with clean water or saline solution, blink several times, and try to remove the object gently with clean hands or a damp cotton swab. Seek medical attention if you cannot remove the object or if there is persistent pain or irritation."""
"""Can Medamoove help me find an ear, nose, and throat (ENT) specialist?""","""Yes, you can find and schedule appointments with ENT specialists through the app."""
"""What are the symptoms of sinusitis?""","""Symptoms may include nasal congestion, facial pain or pressure, postnasal drip, headache, cough, and fatigue."""
"""How do I find a nearby audiology clinic using Medamoove?""","""Use the 'Mednearby' feature to locate nearby audiology clinics."""
"""What is the use of audiograms?""","""Audiograms are tests used to evaluate hearing loss by measuring the softest sounds a person can hear at different pitches or frequencies."""
"""Can I get advice on preventing ear infections through Medamoove?""","""Yes, you can consult with healthcare professionals and receive guidance on preventing ear infections through the app."""
"""What should I do if I experience sudden hearing loss?""","""Seek immediate medical attention, as sudden hearing loss could be a sign of a serious medical condition that requires prompt treatment."""
"""Can Medamoove help me find a dermatologist?""","""Yes, you can find and schedule appointments with dermatologists through the app."""
"""What are the symptoms of eczema?""","""Symptoms may include dry, itchy, red, and inflamed skin, as well as rash-like patches on the skin."""
"""How do I find a nearby dermatology clinic using Medamoove?""","""Use the 'Mednearby' feature to locate nearby dermatology clinics."""
"""What is the use of emollients for eczema treatment?""","""Emollients are moisturizing agents used to soothe and hydrate dry, itchy skin in individuals with eczema."""
"""Can I get advice on managing acne through Medamoove?""","""Yes, you can consult with dermatologists and receive guidance on managing acne through the app."""
"""What should I do if I experience a severe allergic reaction?""","""Seek immediate medical attention, as severe allergic reactions (anaphylaxis) can be life-threatening and require prompt treatment with epinephrine."""
"""What is the use of antihistamines?""","""Antihistamines are medications used to relieve symptoms of allergies, such as sneezing, itching, and runny nose, by blocking the action of histamine in the body."""
"""Can Medamoove help me find an allergy specialist?""","""Yes, you can find and schedule appointments with allergy specialists through the app."""
"""What are the symptoms of hay fever?""","""Symptoms may include sneezing, runny or stuffy nose, itchy eyes, throat, or roof of the mouth, and fatigue."""
"""How do I find a nearby allergy clinic using Medamoove?""","""Use the 'Mednearby' feature to locate nearby allergy clinics."""
"""What is the use of allergy testing?""","""Allergy testing is used to identify specific allergens that trigger allergic reactions in individuals, helping to develop personalized treatment plans and allergy management strategies."""
"""Can I get advice on managing food allergies through Medamoove?""","""Yes, you can consult with allergists and receive guidance on managing food allergies through the app."""
"""What should I do if I experience an asthma attack?""","""Use your prescribed inhaler as directed, sit upright, and try to remain calm. If symptoms worsen or do not improve after using your inhaler, seek emergency medical attention."""
"""Can Medamoove help me find an asthma specialist?""","""Yes, you can find and schedule appointments with asthma specialists through the app."""
"""What are the symptoms of exercise-induced asthma?""","""Symptoms may include coughing, wheezing, shortness of breath, chest tightness, and fatigue during or after physical exertion."""
"""How do I find a nearby pulmonary function testing (PFT) lab using Medamoove?""","""Use the 'Mednearby' feature to locate nearby pulmonary function testing labs."""
"""What is the use of peak flow meters for asthma management?""","""Peak flow meters are handheld devices used to measure how well air moves out of the lungs, helping individuals with asthma monitor their lung function and manage their condition."""
"""Can I get advice on using inhalers effectively through Medamoove?""","""Yes, you can consult with healthcare professionals and receive guidance on using inhalers effectively through the app."""
"""What should I do if I experience shortness of breath?""","""Sit or lie down in a comfortable position, practice deep breathing exercises, and seek medical attention if shortness of breath is severe, persistent, or accompanied by chest pain or other concerning symptoms."""
"""Can Medamoove help me find a pulmonologist?""","""Yes, you can find and schedule appointments with pulmonologists through the app."""
"""What are the symptoms of chronic obstructive pulmonary disease (COPD)?""","""Symptoms may include chronic cough, shortness of breath, wheezing, chest tightness, frequent respiratory infections, and fatigue."""
